month,store_id,region,footfall,digital_ad_spend_lakh,festival_month,actual_sales_lakh,predicted_sales_lakh,residual_lakh
2024-01-01,STR-09,North,1578,10.25,0,98.03,120.6,-22.56
2024-01-01,STR-10,South,1570,11.64,0,129.21,123.54,5.67
2024-02-01,STR-01,West,3442,18.73,0,166.49,169.73,-3.24
2024-02-01,STR-02,North,1490,16.83,0,141.16,119.47,21.69
2024-02-01,STR-03,South,2482,12.83,0,141.18,139.86,1.32
2024-02-01,STR-04,South,3495,22.19,0,178.11,179.49,-1.38
2024-02-01,STR-05,South,1837,10.52,0,126.89,122.9,3.99
2024-02-01,STR-06,West,1021,18.51,0,101.85,114.89,-13.05
2024-02-01,STR-07,East,2293,21.95,0,133.28,152.7,-19.42
2024-02-01,STR-08,West,1900,19.58,0,150.14,140.76,9.38
2024-02-01,STR-09,North,3113,22.82,0,162.89,176.83,-13.93
2024-02-01,STR-10,South,2371,8.94,0,138.56,140.05,-1.49
2024-03-01,STR-01,West,2769,9.72,1,162.94,159.53,3.41
2024-03-01,STR-02,North,1952,21.27,1,156.67,156.48,0.19
2024-03-01,STR-03,South,1982,17.11,1,152.02,152.6,-0.58
2024-03-01,STR-04,South,2427,20.07,1,162.69,169.07,-6.38
2024-03-01,STR-05,South,2872,20.41,1,185.68,181.88,3.8
2024-03-01,STR-06,West,2643,13.72,1,177.48,167.98,9.5
2024-03-01,STR-07,East,3494,6.91,1,174.0,180.93,-6.93
2024-03-01,STR-08,West,1919,15.87,1,157.04,155.29,1.75
2024-03-01,STR-09,North,1931,22.66,1,166.46,166.3,0.16
2024-03-01,STR-10,South,1469,9.02,1,139.82,136.85,2.96
2024-04-01,STR-01,West,2098,14.42,1,141.59,149.59,-8.0
2024-04-01,STR-02,North,1480,16.06,1,146.12,137.64,8.48
2024-04-01,STR-03,South,1175,13.62,1,138.08,127.79,10.29
2024-04-01,STR-04,South,1572,8.8,1,153.29,132.17,21.12
2024-04-01,STR-05,South,2706,8.93,1,158.96,161.9,-2.94
2024-04-01,STR-06,West,1452,17.87,1,137.79,144.27,-6.48
2024-04-01,STR-07,East,995,12.54,1,128.05,126.58,1.47
2024-04-01,STR-08,West,1462,16.71,1,145.03,145.3,-0.27
2024-04-01,STR-09,North,3185,14.82,1,172.81,186.92,-14.11
2024-04-01,STR-10,South,3037,8.33,1,180.99,175.34,5.65
2024-05-01,STR-01,West,2862,11.16,0,144.61,145.38,-0.77
2024-05-01,STR-02,North,3535,6.09,0,151.76,156.31,-4.55
2024-05-01,STR-03,South,2412,20.43,0,154.99,149.5,5.49
2024-05-01,STR-04,South,1421,10.0,0,100.05,111.32,-11.28
2024-05-01,STR-05,South,2225,11.08,0,128.3,134.13,-5.83
2024-05-01,STR-06,West,1125,11.82,0,115.99,108.87,7.12
2024-05-01,STR-07,East,3325,9.15,0,169.42,161.33,8.09
2024-05-01,STR-08,West,931,15.27,0,112.24,111.26,0.99
2024-05-01,STR-09,North,1145,5.17,0,104.21,103.67,0.54
2024-05-01,STR-10,South,3181,6.94,0,187.47,158.25,29.23
2024-06-01,STR-01,West,2522,13.72,0,141.76,140.71,1.05
2024-06-01,STR-02,North,1527,21.4,0,116.05,127.79,-11.74
2024-06-01,STR-03,South,2417,16.23,0,139.17,143.99,-4.82
2024-06-01,STR-04,South,3125,11.85,0,155.87,156.76,-0.89
2024-06-01,STR-05,South,3306,6.51,0,147.46,155.02,-7.56
2024-06-01,STR-06,West,2617,15.79,0,154.53,151.98,2.55
2024-06-01,STR-07,East,2693,17.72,0,167.75,157.79,9.96
2024-06-01,STR-08,West,2931,12.74,0,149.72,157.96,-8.24
2024-06-01,STR-09,North,2301,17.43,0,149.68,149.97,-0.29
2024-06-01,STR-10,South,1956,15.22,0,141.87,139.46,2.41
2024-07-01,STR-01,West,1218,9.5,0,93.87,102.45,-8.58
2024-07-01,STR-02,North,1581,19.09,0,147.76,126.15,21.61
2024-07-01,STR-03,South,2326,7.63,0,146.82,129.94,16.88
2024-07-01,STR-04,South,976,21.98,0,118.16,117.47,0.69
2024-07-01,STR-05,South,907,5.9,0,107.81,94.43,13.39
2024-07-01,STR-06,West,3117,6.26,0,158.65,151.39,7.26
2024-07-01,STR-07,East,1639,12.71,0,128.65,124.67,3.98
2024-07-01,STR-08,West,2891,19.32,0,167.71,166.42,1.29
2024-07-01,STR-09,North,1927,14.25,0,119.98,136.42,-16.44
2024-07-01,STR-10,South,1763,22.85,0,147.22,145.56,1.66
2024-08-01,STR-01,West,2522,10.76,0,141.18,137.07,4.11
2024-08-01,STR-02,North,2464,9.27,0,150.58,134.73,15.85
2024-08-01,STR-03,South,2996,10.73,0,141.06,151.27,-10.21
2024-08-01,STR-04,South,3179,18.06,0,171.9,167.31,4.59
2024-08-01,STR-05,South,2548,10.85,0,142.5,142.63,-0.13
2024-08-01,STR-06,West,2831,8.71,0,172.06,147.92,24.14
2024-08-01,STR-07,East,3239,10.23,0,182.26,161.45,20.82
2024-08-01,STR-08,West,3008,19.61,0,168.13,170.0,-1.87
2024-08-01,STR-09,North,2813,11.12,0,163.03,154.45,8.58
2024-08-01,STR-10,South,2894,9.67,0,149.84,155.64,-5.8
2024-09-01,STR-01,West,2330,7.64,0,139.13,128.15,10.98
2024-09-01,STR-02,North,1026,9.28,0,85.46,99.04,-13.58
2024-09-01,STR-03,South,2024,14.15,0,131.48,132.02,-0.54
2024-09-01,STR-04,South,1406,11.86,0,106.53,114.56,-8.03
2024-09-01,STR-05,South,1804,10.41,0,123.8,123.67,0.13
2024-09-01,STR-06,West,1809,22.45,0,145.11,141.86,3.25
2024-09-01,STR-07,East,1483,13.37,0,118.21,122.19,-3.98
2024-09-01,STR-08,West,3570,8.77,0,184.11,169.13,14.98
2024-09-01,STR-09,North,3492,8.95,0,161.64,168.62,-6.99
2024-09-01,STR-10,South,1086,8.33,0,88.95,108.81,-19.86
2024-10-01,STR-01,West,1414,18.92,1,138.31,140.29,-1.98
2024-10-01,STR-02,North,1667,10.67,1,125.93,136.26,-10.33
2024-10-01,STR-03,South,1865,10.44,1,135.54,142.09,-6.55
2024-10-01,STR-04,South,3376,12.93,1,192.38,184.55,7.84
2024-10-01,STR-05,South,2353,19.99,1,161.24,170.07,-8.83
2024-10-01,STR-06,West,3410,6.73,1,186.36,179.13,7.24
2024-10-01,STR-07,East,1114,11.09,1,116.55,129.02,-12.48
2024-10-01,STR-08,West,1208,5.42,1,138.19,124.64,13.55
2024-10-01,STR-09,North,1779,11.35,1,164.87,148.41,16.46
2024-10-01,STR-10,South,1666,12.23,1,131.41,148.02,-16.61
2024-11-01,STR-01,West,1409,15.84,1,142.62,136.11,6.51
2024-11-01,STR-02,North,3041,21.03,1,188.26,185.37,2.89
2024-11-01,STR-03,South,3479,20.77,1,194.9,197.16,-2.26
2024-11-01,STR-04,South,1702,10.33,1,138.79,139.32,-0.53
2024-11-01,STR-05,South,3522,15.11,1,187.07,192.71,-5.64
2024-11-01,STR-06,West,948,12.1,1,145.8,125.34,20.46
2024-11-01,STR-07,East,2779,19.01,1,191.99,181.99,9.99
2024-11-01,STR-08,West,2811,17.58,1,170.75,181.99,-11.24
2024-11-01,STR-09,North,2997,14.55,1,176.04,183.6,-7.57
2024-11-01,STR-10,South,3492,12.39,1,191.73,194.15,-2.42
2024-12-01,STR-01,West,3441,12.38,0,152.62,163.31,-10.69
2024-12-01,STR-02,North,1328,13.16,0,122.71,112.78,9.93
2024-12-01,STR-03,South,2342,14.01,0,130.59,140.51,-9.92
2024-12-01,STR-04,South,2865,14.9,0,160.06,156.03,4.03
2024-12-01,STR-05,South,3043,5.72,0,155.0,148.84,6.17
2024-12-01,STR-06,West,2479,21.17,0,170.61,157.56,13.05
2024-12-01,STR-07,East,1742,16.41,0,118.64,133.67,-15.03
2024-12-01,STR-08,West,2580,14.39,0,141.39,152.99,-11.6
2024-12-01,STR-09,North,2479,15.34,0,136.18,153.01,-16.83
2024-12-01,STR-10,South,2160,22.64,0,159.33,156.45,2.88
2025-01-01,STR-01,West,1401,6.04,0,104.1,103.68,0.42
2025-01-01,STR-02,North,1649,17.64,0,128.0,127.32,0.68
2025-01-01,STR-03,South,3140,17.88,0,161.1,166.13,-5.03
2025-01-01,STR-04,South,2245,20.89,0,154.72,149.16,5.55
2025-01-01,STR-05,South,2524,15.23,0,145.79,149.42,-3.64
2025-01-01,STR-06,West,1395,16.8,0,118.96,124.6,-5.63
2025-01-01,STR-07,East,1711,6.81,0,113.81,119.71,-5.9
2025-01-01,STR-08,West,1080,15.35,0,112.99,117.09,-4.11
2025-01-01,STR-09,North,2623,21.84,0,167.75,165.95,1.8
2025-01-01,STR-10,South,2692,16.6,0,173.03,161.54,11.49
2025-02-01,STR-01,West,2836,22.01,0,155.54,162.17,-6.63
2025-02-01,STR-02,North,1196,13.93,0,106.73,111.06,-4.33
2025-02-01,STR-03,South,2558,14.86,0,146.37,147.61,-1.24
2025-02-01,STR-04,South,2494,5.83,0,143.58,134.57,9.01
2025-02-01,STR-05,South,2759,11.22,0,145.35,149.93,-4.58
2025-02-01,STR-06,West,2061,9.54,0,131.29,131.34,-0.05
2025-02-01,STR-07,East,2290,15.83,0,155.99,147.06,8.92
2025-02-01,STR-08,West,3185,20.94,0,179.81,177.79,2.02
2025-02-01,STR-09,North,3250,14.83,0,179.56,172.06,7.5
2025-02-01,STR-10,South,3280,15.9,0,175.38,175.51,-0.14
2025-03-01,STR-01,West,1861,15.25,1,156.72,147.57,9.14
2025-03-01,STR-02,North,1538,13.68,1,139.96,138.5,1.46
2025-03-01,STR-03,South,3526,17.87,1,199.07,195.27,3.79
2025-03-01,STR-04,South,2023,17.16,1,152.8,157.9,-5.1
2025-03-01,STR-05,South,1008,17.81,1,134.03,134.64,-0.61
2025-03-01,STR-06,West,3322,14.1,1,195.59,188.5,7.09
2025-03-01,STR-07,East,2890,17.53,1,188.53,183.69,4.83
2025-03-01,STR-08,West,1131,17.78,1,162.83,141.27,21.56
2025-03-01,STR-09,North,2760,19.78,1,187.39,186.0,1.39
2025-03-01,STR-10,South,3128,15.43,1,185.96,190.31,-4.34
2025-04-01,STR-01,West,3104,11.38,1,166.7,173.49,-6.79
2025-04-01,STR-02,North,3352,6.25,1,203.35,173.7,29.65
2025-04-01,STR-03,South,2842,20.9,1,176.02,182.66,-6.64
2025-04-01,STR-04,South,2571,15.03,1,175.26,168.87,6.39
2025-04-01,STR-05,South,1968,10.23,1,149.78,148.27,1.51
2025-04-01,STR-06,West,1033,16.69,1,135.77,135.14,0.63
2025-04-01,STR-07,East,2507,5.31,1,163.33,157.27,6.07
2025-04-01,STR-08,West,3434,10.64,1,182.9,189.09,-6.2
2025-04-01,STR-09,North,3505,5.07,1,183.96,184.27,-0.31
2025-04-01,STR-10,South,1407,11.93,1,126.92,142.62,-15.7
2025-05-01,STR-01,West,2436,22.96,0,158.17,154.24,3.93
2025-05-01,STR-02,North,3079,10.4,0,150.98,153.93,-2.95
2025-05-01,STR-03,South,1517,22.58,0,136.49,133.13,3.36
2025-05-01,STR-04,South,2758,13.93,0,142.8,153.25,-10.45
2025-05-01,STR-05,South,1670,5.45,0,103.82,115.37,-11.55
2025-05-01,STR-06,West,3079,18.49,0,170.12,170.06,0.06
2025-05-01,STR-07,East,2918,22.76,0,186.09,173.22,12.87
2025-05-01,STR-08,West,3327,6.64,0,166.49,162.07,4.42
2025-05-01,STR-09,North,3149,15.16,0,177.76,170.75,7.0
2025-05-01,STR-10,South,941,12.05,0,112.54,112.4,0.14
2025-06-01,STR-01,West,3089,5.16,0,144.96,145.9,-0.94
2025-06-01,STR-02,North,3358,18.48,0,178.94,172.48,6.47
2025-06-01,STR-03,South,3319,14.59,0,173.03,167.25,5.79
2025-06-01,STR-04,South,2592,19.96,0,156.56,157.79,-1.23
2025-06-01,STR-05,South,1941,19.71,0,144.7,142.36,2.33
2025-06-01,STR-06,West,1790,16.31,0,127.73,135.04,-7.3
2025-06-01,STR-07,East,988,8.48,0,98.15,105.22,-7.07
2025-06-01,STR-08,West,1836,7.37,0,123.28,126.06,-2.78
2025-06-01,STR-09,North,2173,17.14,0,156.67,149.36,7.31
2025-06-01,STR-10,South,1399,11.99,0,125.43,124.01,1.42
2025-07-01,STR-01,West,941,20.48,0,120.67,113.89,6.78
2025-07-01,STR-02,North,1293,18.9,0,131.55,121.69,9.87
2025-07-01,STR-03,South,1827,7.32,0,121.4,120.03,1.37
2025-07-01,STR-04,South,1797,21.3,0,149.77,140.05,9.72
2025-07-01,STR-05,South,1349,11.68,0,128.86,116.58,12.28
2025-07-01,STR-06,West,3052,9.81,0,157.8,157.74,0.07
2025-07-01,STR-07,East,2656,18.34,0,161.41,160.98,0.44
2025-07-01,STR-08,West,3463,17.21,0,194.92,180.77,14.15
2025-07-01,STR-09,North,2353,12.11,0,146.28,147.08,-0.8
2025-07-01,STR-10,South,1802,21.55,0,159.19,147.72,11.47
2025-08-01,STR-01,West,2312,18.69,0,125.86,145.92,-20.05
2025-08-01,STR-02,North,1022,18.33,0,123.86,114.37,9.49
2025-08-01,STR-03,South,2963,7.88,0,148.2,149.45,-1.26
2025-08-01,STR-04,South,1366,15.5,0,120.61,121.4,-0.79
2025-08-01,STR-05,South,1681,5.19,0,99.26,116.05,-16.78
2025-08-01,STR-06,West,2730,16.18,0,152.44,158.85,-6.41
2025-08-01,STR-07,East,3214,6.71,0,163.54,158.9,4.64
2025-08-01,STR-08,West,1183,16.75,0,130.69,123.37,7.32
2025-08-01,STR-09,North,1603,11.3,0,130.58,127.44,3.14
2025-08-01,STR-10,South,1134,16.38,0,119.07,124.03,-4.96
2025-09-01,STR-01,West,1515,5.04,0,110.02,107.13,2.89
2025-09-01,STR-02,North,1875,21.22,0,128.32,139.98,-11.66
2025-09-01,STR-03,South,1491,22.18,0,124.15,132.93,-8.78
2025-09-01,STR-04,South,2513,12.85,0,152.39,146.61,5.78
2025-09-01,STR-05,South,2383,22.3,0,168.07,157.79,10.28
2025-09-01,STR-06,West,1195,10.03,0,116.86,112.12,4.74
2025-09-01,STR-07,East,2029,12.74,0,125.17,137.96,-12.79
2025-09-01,STR-08,West,3067,14.2,0,169.16,167.15,2.01
2025-09-01,STR-09,North,3303,17.05,0,159.6,178.25,-18.65
2025-09-01,STR-10,South,1972,5.35,0,127.67,129.79,-2.12
2025-10-01,STR-01,West,2291,16.61,1,177.64,161.99,15.65
2025-10-01,STR-02,North,3448,20.9,1,185.57,198.11,-12.54
2025-10-01,STR-03,South,2686,7.0,1,163.29,160.8,2.49
2025-10-01,STR-04,South,3013,18.55,1,189.67,186.34,3.33
2025-10-01,STR-05,South,3211,16.35,1,188.7,189.42,-0.71
2025-10-01,STR-06,West,3300,20.52,1,199.36,198.68,0.68
2025-10-01,STR-07,East,1547,5.98,1,133.35,135.7,-2.35
2025-10-01,STR-08,West,2754,5.01,1,178.61,165.72,12.89
2025-10-01,STR-09,North,1339,6.43,1,143.37,133.52,9.85
2025-10-01,STR-10,South,1756,5.53,1,143.07,143.89,-0.82
2025-11-01,STR-01,West,2052,11.84,1,147.42,149.57,-2.16
2025-11-01,STR-02,North,1112,12.71,1,130.98,128.49,2.49
2025-11-01,STR-03,South,3248,16.68,1,178.51,188.66,-10.15
2025-11-01,STR-04,South,1934,12.6,1,151.52,151.29,0.23
2025-11-01,STR-05,South,2863,14.83,1,197.0,178.84,18.16
2025-11-01,STR-06,West,2129,17.11,1,161.71,164.89,-3.18
2025-11-01,STR-07,East,2372,10.47,1,153.24,162.86,-9.62
2025-11-01,STR-08,West,2492,7.53,1,158.14,162.94,-4.8
2025-11-01,STR-09,North,2953,18.73,1,189.71,191.35,-1.65
2025-11-01,STR-10,South,3011,21.63,1,212.72,198.05,14.67
2025-12-01,STR-01,West,3478,5.69,0,149.59,157.87,-8.27
2025-12-01,STR-02,North,2086,9.45,0,123.31,129.53,-6.22
2025-12-01,STR-03,South,3298,5.34,0,160.02,155.27,4.74
2025-12-01,STR-04,South,989,9.89,0,101.35,105.12,-3.76
2025-12-01,STR-05,South,1324,22.7,0,133.87,132.63,1.24
2025-12-01,STR-06,West,2168,10.56,0,137.53,137.94,-0.41
2025-12-01,STR-07,East,2613,22.11,0,158.71,166.43,-7.72
2025-12-01,STR-08,West,2550,10.72,0,154.46,150.11,4.35
2025-12-01,STR-09,North,978,12.72,0,98.01,114.81,-16.79
2025-12-01,STR-10,South,1426,7.58,0,143.3,120.01,23.29
2026-01-01,STR-01,West,2645,22.9,0,155.73,161.39,-5.66
2026-01-01,STR-02,North,1719,22.62,0,133.34,139.05,-5.71
2026-01-01,STR-03,South,3296,17.28,0,168.28,172.2,-3.92
2026-01-01,STR-04,South,2974,11.37,0,156.19,157.06,-0.87
2026-01-01,STR-05,South,3573,21.83,0,186.91,187.89,-0.98
2026-01-01,STR-06,West,1108,9.71,0,112.06,110.49,1.56
2026-01-01,STR-07,East,1592,7.84,0,118.33,121.18,-2.85
2026-01-01,STR-08,West,3091,8.21,0,164.11,160.37,3.74
2026-01-01,STR-09,North,1962,12.5,0,130.92,139.35,-8.43
2026-01-01,STR-10,South,2346,21.71,0,154.43,163.05,-8.62
2026-02-01,STR-01,West,2942,18.27,0,174.14,162.58,11.56
2026-02-01,STR-02,North,3410,12.51,0,161.55,167.42,-5.87
2026-02-01,STR-03,South,3247,13.08,0,174.31,165.34,8.97
2026-02-01,STR-04,South,3409,21.26,0,186.96,182.03,4.93
2026-02-01,STR-05,South,1182,6.95,0,104.36,107.53,-3.18
2026-02-01,STR-06,West,2890,10.5,0,163.68,156.41,7.27
2026-02-01,STR-07,East,1909,21.37,0,127.59,148.3,-20.71
2026-02-01,STR-08,West,2258,14.09,0,151.36,148.03,3.33
2026-02-01,STR-09,North,1045,18.86,0,126.78,125.57,1.2
2026-02-01,STR-10,South,2540,20.34,0,153.21,166.23,-13.02
2026-03-01,STR-01,West,3192,8.99,1,184.57,175.08,9.49
2026-03-01,STR-02,North,1278,18.32,1,138.76,141.5,-2.74
2026-03-01,STR-03,South,1114,10.7,1,129.88,127.92,1.96
2026-03-01,STR-04,South,3371,13.72,1,194.33,189.78,4.55
2026-03-01,STR-05,South,1382,20.71,1,137.68,151.05,-13.36
2026-03-01,STR-06,West,1271,19.99,1,153.23,148.47,4.77
2026-03-01,STR-07,East,1554,5.53,1,152.69,136.49,16.2
2026-03-01,STR-08,West,1056,8.06,1,121.55,128.78,-7.24
2026-03-01,STR-09,North,1873,19.82,1,163.21,166.87,-3.66
2026-03-01,STR-10,South,3197,18.19,1,194.9,198.89,-3.99
2026-04-01,STR-01,West,957,10.9,1,124.66,122.14,2.53
2026-04-01,STR-02,North,1513,22.89,1,170.11,154.03,16.09
2026-04-01,STR-03,South,2472,20.7,1,180.34,176.14,4.2
2026-04-01,STR-04,South,1850,5.75,1,145.6,140.85,4.75
2026-04-01,STR-05,South,1500,15.68,1,137.59,147.2,-9.62
2026-04-01,STR-06,West,2109,15.76,1,166.33,163.75,2.59
2026-04-01,STR-07,East,1050,5.63,1,112.53,124.28,-11.75
2026-04-01,STR-08,West,1775,5.57,1,129.82,143.52,-13.7
2026-04-01,STR-09,North,2616,20.43,1,190.13,186.55,3.58
2026-04-01,STR-10,South,2617,7.6,1,168.5,169.82,-1.32
2026-05-01,STR-01,West,1511,12.85,0,125.7,119.97,5.73
2026-05-01,STR-02,North,2754,21.76,0,167.41,164.71,2.7
2026-05-01,STR-03,South,2966,21.06,0,175.19,170.24,4.95
2026-05-01,STR-04,South,1005,19.91,0,112.66,120.8,-8.14
2026-05-01,STR-05,South,1986,15.63,0,145.31,140.53,4.78
2026-05-01,STR-06,West,1033,11.04,0,107.76,111.48,-3.72
2026-05-01,STR-07,East,1296,8.15,0,105.7,115.21,-9.51
2026-05-01,STR-08,West,1065,18.95,0,127.96,125.75,2.21
2026-05-01,STR-09,North,2489,13.18,0,144.57,154.47,-9.9
2026-05-01,STR-10,South,3318,16.94,0,156.25,181.66,-25.41
2026-06-01,STR-01,West,2679,9.73,0,146.18,145.05,1.13
2026-06-01,STR-02,North,2643,12.0,0,156.32,148.52,7.8
2026-06-01,STR-03,South,2232,22.31,0,158.42,153.89,4.53
2026-06-01,STR-04,South,1563,9.67,0,112.24,120.66,-8.42
2026-06-01,STR-05,South,3570,7.15,0,147.16,168.51,-21.36
2026-06-01,STR-06,West,991,10.9,0,117.04,110.49,6.55
2026-06-01,STR-07,East,2505,16.94,0,179.08,157.98,21.1
2026-06-01,STR-08,West,2759,10.99,0,158.7,157.21,1.49
2026-06-01,STR-09,North,2250,17.83,0,161.34,155.26,6.08
2026-06-01,STR-10,South,1946,5.46,0,130.43,131.54,-1.11
2026-07-01,STR-01,West,2608,13.27,0,153.51,148.47,5.03
2026-07-01,STR-02,North,3507,17.79,0,193.46,178.49,14.98
2026-07-01,STR-03,South,1442,22.63,0,145.72,134.83,10.89
2026-07-01,STR-04,South,1993,6.31,0,119.35,126.95,-7.6
2026-07-01,STR-05,South,2645,18.36,0,170.24,161.32,8.92
2026-07-01,STR-06,West,2924,22.04,0,154.03,174.65,-20.63
2026-07-01,STR-07,East,1374,17.19,0,128.55,130.32,-1.77
2026-07-01,STR-08,West,2482,13.79,0,177.45,154.46,23.0
2026-07-01,STR-09,North,2629,13.89,0,162.04,159.47,2.57
2026-07-01,STR-10,South,2696,7.64,0,167.76,153.59,14.17
2026-08-01,STR-01,West,1381,5.25,0,116.59,106.83,9.76
2026-08-01,STR-02,North,928,19.48,0,107.73,116.62,-8.9
2026-08-01,STR-03,South,2431,22.49,0,166.91,159.61,7.3
2026-08-01,STR-04,South,2302,16.98,0,134.11,149.88,-15.77
2026-08-01,STR-05,South,3148,19.28,0,165.39,175.44,-10.05
2026-08-01,STR-06,West,3118,15.39,0,157.1,170.45,-13.35
2026-08-01,STR-07,East,1200,11.57,0,102.91,118.35,-15.44
2026-08-01,STR-08,West,1213,10.98,0,113.43,119.05,-5.61
2026-08-01,STR-09,North,3530,14.8,0,190.63,183.52,7.12
2026-08-01,STR-10,South,2651,9.41,0,154.6,155.2,-0.6

